train,test,val
normal_111,normal_079,test_052
normal_020,normal_026,tumor_004
tumor_047,normal_043,tumor_095
normal_040,tumor_109,tumor_029
test_023,test_123,tumor_010
normal_152,normal_082,tumor_036
normal_158,test_050,test_032
test_047,tumor_009,tumor_091
test_033,test_124,tumor_048
test_128,tumor_018,tumor_072
normal_011,test_066,test_013
tumor_017,normal_137,tumor_061
normal_077,tumor_076,test_018
tumor_090,test_080,normal_121
test_100,tumor_086,tumor_100
normal_127,normal_044,test_083
tumor_055,tumor_105,test_106
tumor_110,test_103,normal_115
tumor_014,normal_052,test_048
test_009,test_063,test_118
normal_148,normal_157,tumor_068
normal_088,tumor_049,test_117
normal_144,normal_103,normal_078
tumor_033,test_030,test_090
normal_009,test_043,test_085
normal_124,test_026,tumor_015
test_088,tumor_099,normal_104
test_092,normal_128,test_037
normal_084,normal_004,test_062
tumor_069,test_126,normal_089
normal_101,normal_023,normal_006
test_108,normal_046,normal_066
tumor_063,tumor_084,tumor_106
normal_149,test_094,normal_058
test_020,tumor_062,tumor_042
normal_145,tumor_011,test_003
tumor_006,normal_060,test_115
tumor_092,normal_005,test_038
test_012,normal_076,normal_091
tumor_096,normal_113,normal_003
normal_131,test_042,tumor_101
normal_061,test_054,test_114
normal_008,test_073,normal_117
test_021,normal_122,normal_035
normal_054,test_016,test_125
normal_106,normal_051,test_059
tumor_030,normal_034,normal_062
tumor_111,tumor_094,test_010
test_102,normal_133,
normal_123,tumor_001,
test_055,test_007,
tumor_077,normal_156,
tumor_044,normal_033,
test_130,test_107,
tumor_040,normal_071,
tumor_021,normal_067,
tumor_022,normal_038,
tumor_067,tumor_089,
tumor_078,test_099,
test_025,test_045,
normal_142,normal_107,
test_065,normal_053,
normal_125,normal_099,
tumor_065,test_014,
test_060,test_002,
test_051,normal_153,
test_056,normal_027,
normal_130,tumor_039,
tumor_035,test_076,
normal_100,tumor_080,
normal_097,test_005,
test_061,tumor_032,
tumor_057,normal_116,
normal_036,test_022,
normal_093,normal_016,
tumor_052,normal_073,
test_019,test_122,
test_111,normal_083,
test_041,normal_049,
normal_022,,
normal_098,,
tumor_007,,
tumor_012,,
normal_074,,
tumor_027,,
normal_138,,
test_044,,
test_058,,
test_087,,
test_036,,
normal_096,,
tumor_064,,
normal_132,,
tumor_070,,
test_120,,
tumor_031,,
normal_002,,
normal_050,,
normal_154,,
normal_037,,
normal_092,,
tumor_016,,
tumor_103,,
normal_059,,
tumor_038,,
test_127,,
tumor_002,,
normal_070,,
normal_029,,
normal_080,,
tumor_034,,
test_089,,
normal_042,,
test_101,,
tumor_024,,
test_035,,
normal_129,,
test_068,,
test_071,,
test_096,,
test_004,,
normal_081,,
normal_141,,
tumor_037,,
tumor_053,,
normal_012,,
tumor_050,,
normal_031,,
tumor_025,,
test_086,,
test_064,,
test_040,,
normal_064,,
test_079,,
test_081,,
normal_126,,
test_011,,
tumor_075,,
tumor_071,,
tumor_088,,
test_098,,
test_008,,
normal_056,,
tumor_102,,
test_069,,
test_084,,
test_078,,
test_112,,
tumor_074,,
normal_025,,
normal_039,,
test_006,,
normal_024,,
normal_007,,
normal_028,,
normal_110,,
normal_069,,
tumor_081,,
normal_139,,
normal_095,,
normal_017,,
tumor_098,,
tumor_107,,
tumor_023,,
tumor_026,,
tumor_079,,
tumor_043,,
tumor_082,,
normal_119,,
test_119,,
normal_063,,
tumor_087,,
tumor_013,,
normal_015,,
tumor_020,,
test_057,,
test_110,,
normal_140,,
normal_075,,
normal_090,,
test_034,,
test_053,,
normal_151,,
test_046,,
tumor_097,,
normal_072,,
tumor_104,,
normal_147,,
tumor_003,,
test_027,,
normal_019,,
normal_021,,
tumor_046,,
test_104,,
tumor_041,,
tumor_019,,
normal_068,,
normal_159,,
normal_143,,
test_017,,
normal_001,,
test_116,,
normal_010,,
normal_014,,
normal_102,,
tumor_045,,
normal_094,,
test_039,,
test_031,,
test_074,,
test_077,,
normal_136,,
tumor_028,,
normal_118,,
test_001,,
normal_109,,
normal_150,,
normal_013,,
normal_045,,
test_015,,
normal_048,,
normal_146,,
test_082,,
normal_047,,
normal_065,,
normal_055,,
normal_105,,
normal_134,,
normal_032,,
test_067,,
test_095,,
tumor_058,,
tumor_051,,
test_097,,
test_121,,
test_109,,
test_093,,
tumor_083,,
tumor_093,,
tumor_108,,
normal_120,,
tumor_073,,
normal_057,,
test_075,,
tumor_005,,
normal_155,,
test_113,,
tumor_066,,
test_105,,
normal_135,,
normal_085,,
test_091,,
tumor_085,,
tumor_059,,
test_070,,
test_024,,
test_072,,
test_029,,
test_129,,
normal_160,,
normal_114,,
tumor_060,,
normal_030,,
test_028,,
tumor_054,,
normal_108,,
normal_087,,
normal_112,,
normal_018,,
tumor_056,,
normal_041,,
tumor_008,,
